module_code,module_name,subject_name,nominal_year,semester_bucket,is_full_year
PHYS 21521,PHYS 21521,PHYS,2,1,false
PHYS 31512,PHYS 31512,PHYS,3,1,false
PHYS 31521,PHYS 31521,PHYS,3,1,false
PHYS 31532,PHYS 31532,PHYS,3,1,false
PHYS 31544,PHYS 31544,PHYS,3,1,false
PHYS 43793,PHYS 43793,PHYS,4,1,false
PHYS 43875,PHYS 43875,PHYS,4,1,false
PHYS 43888,PHYS 43888,PHYS,4,1,false
PLBL 11543,PLBL 11543,PLBL,1,1,false
PLBL 21513,PLBL 21513,PLBL,2,1,false
PLBL 21521,PLBL 21521,PLBL,2,1,false
PLBL 21532,PLBL 21532,PLBL,2,1,false
PLBL 31514,PLBL 31514,PLBL,3,1,false
PLBL 31521,PLBL 31521,PLBL,3,1,false
PLBL 41763,PLBL 41763,PLBL,4,1,false
PLBL 41772,PLBL 41772,PLBL,4,1,false
PLBL 41783,PLBL 41783,PLBL,4,1,false
PLBL 41833,PLBL 41833,PLBL,4,1,false
PLBL 41854,PLBL 41854,PLBL,4,1,false
PLBL 41863,PLBL 41863,PLBL,4,1,false
PLBL 43872,PLBL 43872,PLBL,4,1,false
PLBL 43882,PLBL 43882,PLBL,4,1,false
PLBL 43918,PLBL 43918,PLBL,4,1,false
PMAT 11203,PMAT 11203,PMAT,1,1,false
PMAT 11212,PMAT 11212,PMAT,1,1,false
PMAT 11223,PMAT 11223,PMAT,1,1,false
PMAT 11232,PMAT 11232,PMAT,1,1,false
PMAT 21263,PMAT 21263,PMAT,2,1,false
PMAT 21272,PMAT 21272,PMAT,2,1,false
PMAT 31212,PMAT 31212,PMAT,3,1,false
PMAT 31303,PMAT 31303,PMAT,3,1,false
PMAT 31312,PMAT 31312,PMAT,3,1,false
PMAT 41343,PMAT 41343,PMAT,4,1,false
PMAT 41353,PMAT 41353,PMAT,4,1,false
PMAT 41813,PMAT 41813,PMAT,4,1,false
PMAT 41823,PMAT 41823,PMAT,4,1,false
PMAT 43976,PMAT 43976,PMAT,4,1,false
PRPL 31992,PRPL 31992,PRPL,3,1,false
SENG 11213,SENG 11213,SENG,1,1,false
SENG 11223,SENG 11223,SENG,1,1,false
SENG 11232,SENG 11232,SENG,1,1,false
SENG 11243,SENG 11243,SENG,1,1,false
SENG 21213,SENG 21213,SENG,2,1,false
SENG 21222,SENG 21222,SENG,2,1,false
SENG 21233,SENG 21233,SENG,2,1,false
SENG 21243,SENG 21243,SENG,2,1,false
SENG 21253,SENG 21253,SENG,2,1,false
SENG 21263,SENG 21263,SENG,2,1,false
SENG 31212,SENG 31212,SENG,3,1,false
SENG 31222,SENG 31222,SENG,3,1,false
SENG 31232,SENG 31232,SENG,3,1,false
SENG 31242,SENG 31242,SENG,3,1,false
SENG 31252,SENG 31252,SENG,3,1,false
SENG 31313,SENG 31313,SENG,3,1,false
SENG 31323,SENG 31323,SENG,3,1,false
SENG 31333,SENG 31333,SENG,3,1,false
SENG 31343,SENG 31343,SENG,3,1,false
SENG 31353,SENG 31353,SENG,3,1,false
SENG 31363,SENG 31363,SENG,3,1,false
SENG 41212,SENG 41212,SENG,4,1,false
SENG 41222,SENG 41222,SENG,4,1,false
SENG 41242,SENG 41242,SENG,4,1,false
SENG 41252,SENG 41252,SENG,4,1,false
SENG 41283,SENG 41283,SENG,4,1,false
SENG 41293,SENG 41293,SENG,4,1,false
SENG 41303,SENG 41303,SENG,4,1,false
SENG 41313,SENG 41313,SENG,4,1,false
SENG 41323,SENG 41323,SENG,4,1,false
SENG 41333,SENG 41333,SENG,4,1,false
SENG 43216,SENG 43216,SENG,4,1,false
STAT 11613,STAT 11613,STAT,1,1,false
STAT 11621,STAT 11621,STAT,1,1,false
STAT 11632,STAT 11632,STAT,1,1,false
STAT 21613,STAT 21613,STAT,2,1,false
STAT 21623,STAT 21623,STAT,2,1,false
STAT 31613,STAT 31613,STAT,3,1,false
STAT 31622,STAT 31622,STAT,3,1,false
STAT 31631,STAT 31631,STAT,3,1,false
STAT 31642,STAT 31642,STAT,3,1,false
STAT 31653,STAT 31653,STAT,3,1,false
STAT 41613,STAT 41613,STAT,4,1,false
STAT 43878,STAT 43878,STAT,4,1,false
ZOOL 21702,ZOOL 21702,ZOOL,2,1,false
ZOOL 21711,ZOOL 21711,ZOOL,2,1,false
ZOOL 21722,ZOOL 21722,ZOOL,2,1,false
ZOOL 31703,ZOOL 31703,ZOOL,3,1,false
ZOOL 31713,ZOOL 31713,ZOOL,3,1,false
ZOOL 31722,ZOOL 31722,ZOOL,3,1,false
ZOOL 41703,ZOOL 41703,ZOOL,4,1,false
ZOOL 41711,ZOOL 41711,ZOOL,4,1,false
ZOOL 41722,ZOOL 41722,ZOOL,4,1,false
ZOOL 41732,ZOOL 41732,ZOOL,4,1,false
ZOOL 41752,ZOOL 41752,ZOOL,4,1,false
ZOOL 41792,ZOOL 41792,ZOOL,4,1,false
ZOOL 41802,ZOOL 41802,ZOOL,4,1,false
ZOOL 41813,ZOOL 41813,ZOOL,4,1,false
ZOOL 41823,ZOOL 41823,ZOOL,4,1,false
ZOOL 41832,ZOOL 41832,ZOOL,4,1,false
ZOOL 41842,ZOOL 41842,ZOOL,4,1,false
ZOOL 43742,ZOOL 43742,ZOOL,4,1,false
ZOOL 43948,ZOOL 43948,ZOOL,4,1,false
